"icd","vocabulary_id","ICD_string","phecode","phecode_string","category_num","category"
"D06.7","ICD10","Carcinoma in situ: Other parts of cervix","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C05.2","ICD10","Malignant neoplasm: Uvula","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C16.9","ICD10","Malignant neoplasm: Stomach, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C32","ICD10","Malignant neoplasm of larynx","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C67.6","ICD10","Malignant neoplasm: Ureteric orifice","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C76.7","ICD10","Malignant neoplasm of other and ill-defined sites: Other ill-defined sites","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C38","ICD10","Malignant neoplasm of heart, mediastinum and pleura","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C53.9","ICD10","Malignant neoplasm: Cervix uteri, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C69.6","ICD10","Malignant neoplasm: Orbit","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D01.9","ICD10","Carcinoma in situ: Digestive organ, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C00","ICD10","Malignant neoplasm of lip","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C22.9","ICD10","Malignant neoplasm: Liver, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C40.8","ICD10","Malignant neoplasm: Overlapping lesion of bone and articular cartilage of limbs","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C57.7","ICD10","Malignant neoplasm: Other specified female genital organs","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C71.8","ICD10","Malignant neoplasm: Overlapping lesion of brain","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D03.8","ICD10","Melanoma in situ of other sites","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C02.4","ICD10","Malignant neoplasm: Lingual tonsil","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C43.5","ICD10","Malignant neoplasm: Malignant melanoma of trunk","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C63.0","ICD10","Malignant neoplasm: Epididymis","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C75","ICD10","Malignant neoplasm of other endocrine glands and related structures","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C17","ICD10","Malignant neoplasm of small intestine","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C09.1","ICD10","Malignant neoplasm: Tonsillar pillar (anterior)(posterior)","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C18.8","ICD10","Malignant neoplasm: Overlapping lesion of colon","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C48.1","ICD10","Malignant neoplasm: Specified parts of peritoneum","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"Z85","ICD10","Personal history of malignant neoplasm","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C11.8","ICD10","Malignant neoplasm: Overlapping lesion of nasopharynx","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C50.2","ICD10","Malignant neoplasm: Upper-inner quadrant of breast","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C15.2","ICD10","Malignant neoplasm: Abdominal part of oesophagus","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C26","ICD10","Malignant neoplasm of other and ill-defined digestive organs","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D06.9","ICD10","Carcinoma in situ: Cervix, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C05.8","ICD10","Malignant neoplasm: Overlapping lesion of palate","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C32.0","ICD10","Malignant neoplasm: Glottis","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C67.7","ICD10","Malignant neoplasm: Urachus","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C76.8","ICD10","Malignant neoplasm of other and ill-defined sites: Overlapping lesion of other and ill-defined sites","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C38.0","ICD10","Malignant neoplasm: Heart","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C54","ICD10","Malignant neoplasm of corpus uteri","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C69.8","ICD10","Malignant neoplasm: Overlapping lesion of eye and adnexa","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D02","ICD10","Carcinoma in situ of middle ear and respiratory system","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C00.0","ICD10","Malignant neoplasm: External upper lip","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C23","ICD10","Malignant neoplasm of gallbladder","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C40.9","ICD10","Malignant neoplasm: Bone and articular cartilage of limb, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C57.8","ICD10","Malignant neoplasm: Overlapping lesion of female genital organs","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C71.9","ICD10","Malignant neoplasm: Brain, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D03.9","ICD10","Melanoma in situ, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C02.8","ICD10","Malignant neoplasm: Overlapping lesion of tongue","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C43.6","ICD10","Malignant neoplasm: Malignant melanoma of upper limb, including shoulder","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C63.1","ICD10","Malignant neoplasm: Spermatic cord","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C75.0","ICD10","Malignant neoplasm: Parathyroid gland","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C05.9","ICD10","Malignant neoplasm: Palate, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C17.0","ICD10","Malignant neoplasm: Duodenum","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C09.8","ICD10","Malignant neoplasm: Overlapping lesion of tonsil","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C18.9","ICD10","Malignant neoplasm: Colon, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C48.2","ICD10","Malignant neoplasm: Peritoneum, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"Z85.0","ICD10","Personal history of malignant neoplasm of digestive organs","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C80","ICD10","Malignant neoplasm, without specification of site","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C11.9","ICD10","Malignant neoplasm: Nasopharynx, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C50.3","ICD10","Malignant neoplasm: Lower-inner quadrant of breast","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C15.3","ICD10","Malignant neoplasm: Upper third of oesophagus","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D07","ICD10","Carcinoma in situ of other and unspecified genital organs","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C32.1","ICD10","Malignant neoplasm: Supraglottis","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C67.8","ICD10","Malignant neoplasm: Overlapping lesion of bladder","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C38.1","ICD10","Malignant neoplasm: Anterior mediastinum","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C54.0","ICD10","Malignant neoplasm: Isthmus uteri","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C69.9","ICD10","Malignant neoplasm: Eye, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D02.0","ICD10","Carcinoma in situ: Larynx","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C00.1","ICD10","Malignant neoplasm: External lower lip","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C24","ICD10","Malignant neoplasm of other and unspecified parts of biliary tract","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C41","ICD10","Malignant neoplasm of bone and articular cartilage of other and unspecified sites","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C57.9","ICD10","Malignant neoplasm: Female genital organ, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C72","ICD10","Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C02.9","ICD10","Malignant neoplasm: Tongue, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C26.0","ICD10","Malignant neoplasm: Intestinal tract, part unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C43.7","ICD10","Malignant neoplasm: Malignant melanoma of lower limb, including hip","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C63.2","ICD10","Malignant neoplasm: Scrotum","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C75.1","ICD10","Malignant neoplasm: Pituitary gland","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C06","ICD10","Malignant neoplasm of other and unspecified parts of mouth","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C17.1","ICD10","Malignant neoplasm: Jejunum","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C09.9","ICD10","Malignant neoplasm: Tonsil, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C19","ICD10","Malignant neoplasm of rectosigmoid junction","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C48.8","ICD10","Malignant neoplasm: Overlapping lesion of retroperitoneum and peritoneum","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"Z85.1","ICD10","Personal history of malignant neoplasm of trachea, bronchus and lung","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C80.0","ICD10","Malignant neoplasm, primary site unknown, so stated","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C12","ICD10","Malignant neoplasm of piriform sinus","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C50.4","ICD10","Malignant neoplasm: Upper-outer quadrant of breast","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C15.4","ICD10","Malignant neoplasm: Middle third of oesophagus","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D07.0","ICD10","Carcinoma in situ: Endometrium","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C32.2","ICD10","Malignant neoplasm: Subglottis","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C67.9","ICD10","Malignant neoplasm: Bladder, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C97","ICD10","Malignant neoplasms of independent (primary) multiple sites","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C38.2","ICD10","Malignant neoplasm: Posterior mediastinum","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C54.1","ICD10","Malignant neoplasm: Endometrium","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C70","ICD10","Malignant neoplasm of meninges","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C80.9","ICD10","Malignant neoplasm, primary site unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D02.1","ICD10","Carcinoma in situ: Trachea","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C00.2","ICD10","Malignant neoplasm: External lip, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C24.0","ICD10","Malignant neoplasm: Extrahepatic bile duct","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C41.0","ICD10","Malignant neoplasm: Bones of skull and face","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C58","ICD10","Malignant neoplasm of placenta","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C72.0","ICD10","Malignant neoplasm: Spinal cord","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C03","ICD10","Malignant neoplasm of gum","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C26.1","ICD10","Malignant neoplasm: Spleen","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C43.8","ICD10","Malignant neoplasm: Overlapping malignant melanoma of skin","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C63.7","ICD10","Malignant neoplasm: Other specified male genital organs","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C75.2","ICD10","Malignant neoplasm: Craniopharyngeal duct","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C06.0","ICD10","Malignant neoplasm: Cheek mucosa","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C17.2","ICD10","Malignant neoplasm: Ileum","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C10","ICD10","Malignant neoplasm of oropharynx","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C20","ICD10","Malignant neoplasm of rectum","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C49","ICD10","Malignant neoplasm of other connective and soft tissue","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"Z85.2","ICD10","Personal history of malignant neoplasm of other respiratory and intrathoracic organs","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C13","ICD10","Malignant neoplasm of hypopharynx","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C50.5","ICD10","Malignant neoplasm: Lower-outer quadrant of breast","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C15.5","ICD10","Malignant neoplasm: Lower third of oesophagus","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C26.8","ICD10","Malignant neoplasm: Overlapping lesion of digestive system","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D07.1","ICD10","Carcinoma in situ: Vulva","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C32.3","ICD10","Malignant neoplasm: Laryngeal cartilage","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C68","ICD10","Malignant neoplasm of other and unspecified urinary organs","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D00","ICD10","Carcinoma in situ of oral cavity, oesophagus and stomach","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C38.3","ICD10","Malignant neoplasm: Mediastinum, part unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C54.2","ICD10","Malignant neoplasm: Myometrium","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C70.0","ICD10","Malignant neoplasm: Cerebral meninges","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D02.2","ICD10","Carcinoma in situ: Bronchus and lung","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C00.3","ICD10","Malignant neoplasm: Upper lip, inner aspect","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C24.1","ICD10","Malignant neoplasm: Ampulla of Vater","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C41.1","ICD10","Malignant neoplasm: Mandible","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C60","ICD10","Malignant neoplasm of penis","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C72.1","ICD10","Malignant neoplasm: Cauda equina","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C03.0","ICD10","Malignant neoplasm: Upper gum","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C43.9","ICD10","Malignant neoplasm: Malignant melanoma of skin, unspecified","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C63.8","ICD10","Malignant neoplasm: Overlapping lesion of male genital organs","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"C75.3","ICD10","Malignant neoplasm: Pineal gland","CA_130","Cancer (solid tumor, excluding BCC)","02","Neoplasms"
"D63.0","ICD10","Anemia in neoplastic disease","CA_132","Sequelae of cancer","02","Neoplasms"
"E34.0","ICD10","Carcinoid syndrome","CA_132","Sequelae of cancer","02","Neoplasms"
"M36.0","ICD10","Dermato(poly)myositis in neoplastic disease","CA_132","Sequelae of cancer","02","Neoplasms"
"E88.3","ICD10","Tumour lysis syndrome","CA_132","Sequelae of cancer","02","Neoplasms"
"M36.1","ICD10","Arthropathy in neoplastic disease","CA_132","Sequelae of cancer","02","Neoplasms"
"I97.2","ICD10","Postmastectomy lymphoedema syndrome","CA_132","Sequelae of cancer","02","Neoplasms"
"G13.0","ICD10","Paraneoplastic neuromyopathy and neuropathy","CA_132","Sequelae of cancer","02","Neoplasms"
"G13.1","ICD10","Other systemic atrophy primarily affecting central nervous system in neoplastic disease","CA_132","Sequelae of cancer","02","Neoplasms"
"Z90.1","ICD10","Acquired absence of breast(s)","CA_132","Sequelae of cancer","02","Neoplasms"
"D10","ICD10","Benign neoplasm of mouth and pharynx","CA_135","Benign neoplasm of the head and neck","02","Neoplasms"
"D10.3","ICD10","Benign neoplasm: Other and unspecified parts of mouth","CA_135.1","Benign neoplasm of the oral cavity","02","Neoplasms"
"D10.0","ICD10","Benign neoplasm: Lip","CA_135.11","Benign neoplasm of the lip","02","Neoplasms"
"D10.1","ICD10","Benign neoplasm: Tongue","CA_135.12","Benign neoplasm of the tongue","02","Neoplasms"
"D10.2","ICD10","Benign neoplasm: Floor of mouth","CA_135.14","Benign neoplasm of the floor of mouth","02","Neoplasms"
"D11","ICD10","Benign neoplasm of major salivary glands","CA_135.16","Benign neoplasm of the salivary glands","02","Neoplasms"
"D11.0","ICD10","Benign neoplasm: Parotid gland","CA_135.16","Benign neoplasm of the salivary glands","02","Neoplasms"
"D11.7","ICD10","Benign neoplasm: Other major salivary glands","CA_135.16","Benign neoplasm of the salivary glands","02","Neoplasms"
"D11.9","ICD10","Benign neoplasm: Major salivary gland, unspecified","CA_135.16","Benign neoplasm of the salivary glands","02","Neoplasms"
"D10.4","ICD10","Benign neoplasm: Tonsil","CA_135.2","Benign neoplasm of the oropharynx","02","Neoplasms"
"D10.5","ICD10","Benign neoplasm: Other parts of oropharynx","CA_135.2","Benign neoplasm of the oropharynx","02","Neoplasms"
"D10.6","ICD10","Benign neoplasm: Nasopharynx","CA_135.3","Benign neoplasm of the nasopharynx","02","Neoplasms"
"D10.7","ICD10","Benign neoplasm: Hypopharynx","CA_135.4","Benign neoplasm of the hypopharynx","02","Neoplasms"
"D10.9","ICD10","Benign neoplasm: Pharynx, unspecified","CA_135.5","Benign neoplasm of the paranasal sinus and nasal cavity","02","Neoplasms"
"J33","ICD10","Nasal polyp","CA_135.5","Benign neoplasm of the paranasal sinus and nasal cavity","02","Neoplasms"
"J33.0","ICD10","Polyp of nasal cavity","CA_135.5","Benign neoplasm of the paranasal sinus and nasal cavity","02","Neoplasms"
"J33.1","ICD10","Polypoid sinus degeneration","CA_135.5","Benign neoplasm of the paranasal sinus and nasal cavity","02","Neoplasms"
"J33.8","ICD10","Other polyp of sinus","CA_135.5","Benign neoplasm of the paranasal sinus and nasal cavity","02","Neoplasms"
"D14.0","ICD10","Benign neoplasm: Middle ear, nasal cavity and accessory sinuses","CA_135.5","Benign neoplasm of the paranasal sinus and nasal cavity","02","Neoplasms"
"J33.9","ICD10","Nasal polyp, unspecified","CA_135.5","Benign neoplasm of the paranasal sinus and nasal cavity","02","Neoplasms"
"J38.1","ICD10","Polyp of vocal cord and larynx","CA_135.6","Benign neoplasm of vocal cord or larynx","02","Neoplasms"
"D14.1","ICD10","Benign neoplasm: Larynx","CA_135.6","Benign neoplasm of vocal cord or larynx","02","Neoplasms"
"D13","ICD10","Benign neoplasm of other and ill-defined parts of digestive system","CA_136","Benign neoplasm of the digestive organs","02","Neoplasms"
"D13.9","ICD10","Benign neoplasm: Ill-defined sites within the digestive system","CA_136","Benign neoplasm of the digestive organs","02","Neoplasms"
"D13.0","ICD10","Benign neoplasm: Oesophagus","CA_136.1","Benign neoplasm of the esophagus","02","Neoplasms"
"D13.1","ICD10","Benign neoplasm: Stomach","CA_136.2","Benign neoplasm of stomach","02","Neoplasms"
"K31.7","ICD10","Polyp of stomach and duodenum","CA_136.2","Benign neoplasm of stomach","02","Neoplasms"
"D13.2","ICD10","Benign neoplasm: Duodenum","CA_136.3","Benign neoplasm of the small intestine","02","Neoplasms"
"D13.3","ICD10","Benign neoplasm: Other and unspecified parts of small intestine","CA_136.3","Benign neoplasm of the small intestine","02","Neoplasms"
"D12","ICD10","Benign neoplasm of colon, rectum, anus and anal canal","CA_136.4","Benign neoplasm of colon, rectum, anus and anal canal","02","Neoplasms"
"D12.0","ICD10","Benign neoplasm: Caecum","CA_136.41","Benign neoplasm of the colon","02","Neoplasms"
"D12.1","ICD10","Benign neoplasm: Appendix","CA_136.41","Benign neoplasm of the colon","02","Neoplasms"
"D12.2","ICD10","Benign neoplasm: Ascending colon","CA_136.41","Benign neoplasm of the colon","02","Neoplasms"
"D12.3","ICD10","Benign neoplasm: Transverse colon","CA_136.41","Benign neoplasm of the colon","02","Neoplasms"
"D12.4","ICD10","Benign neoplasm: Descending colon","CA_136.41","Benign neoplasm of the colon","02","Neoplasms"
"D12.5","ICD10","Benign neoplasm: Sigmoid colon","CA_136.41","Benign neoplasm of the colon","02","Neoplasms"
"D12.6","ICD10","Benign neoplasm: Colon, unspecified","CA_136.41","Benign neoplasm of the colon","02","Neoplasms"
"K63.5","ICD10","Polyp of colon","CA_136.41","Benign neoplasm of the colon","02","Neoplasms"
"K62.0","ICD10","Anal polyp","CA_136.42","Benign neoplasm of rectum and anus","02","Neoplasms"
"K62.1","ICD10","Rectal polyp","CA_136.42","Benign neoplasm of rectum and anus","02","Neoplasms"
"D12.7","ICD10","Benign neoplasm: Rectosigmoid junction","CA_136.42","Benign neoplasm of rectum and anus","02","Neoplasms"
"D12.8","ICD10","Benign neoplasm: Rectum","CA_136.42","Benign neoplasm of rectum and anus","02","Neoplasms"
"D12.9","ICD10","Benign neoplasm: Anus and anal canal","CA_136.42","Benign neoplasm of rectum and anus","02","Neoplasms"
"D13.5","ICD10","Benign neoplasm: Extrahepatic bile ducts","CA_136.6","Benign neoplasm of the liver and intrahepatic bile ducts","02","Neoplasms"
"D13.4","ICD10","Benign neoplasm: Liver","CA_136.61","Benign neoplasm of the liver*","02","Neoplasms"
"D13.6","ICD10","Benign neoplasm: Pancreas","CA_136.8","Benign neoplasm of the pancreas","02","Neoplasms"
"D15","ICD10","Benign neoplasm of other and unspecified intrathoracic organs","CA_137","Benign neoplasm of the thoracic and respiratory organs","02","Neoplasms"
"D15.7","ICD10","Benign neoplasm: Other specified intrathoracic organs","CA_137","Benign neoplasm of the thoracic and respiratory organs","02","Neoplasms"
"D15.9","ICD10","Benign neoplasm: Intrathoracic organ, unspecified","CA_137","Benign neoplasm of the thoracic and respiratory organs","02","Neoplasms"
"D14","ICD10","Benign neoplasm of middle ear and respiratory system","CA_137","Benign neoplasm of the thoracic and respiratory organs","02","Neoplasms"
"D14.4","ICD10","Benign neoplasm: Respiratory system, unspecified","CA_137","Benign neoplasm of the thoracic and respiratory organs","02","Neoplasms"
"D14.3","ICD10","Benign neoplasm: Bronchus and lung","CA_137.1","Benign neoplasm of the of bronchus and lung","02","Neoplasms"
"D14.2","ICD10","Benign neoplasm: Trachea","CA_137.3","Benign neoplasm of the trachea","02","Neoplasms"
"D15.1","ICD10","Benign neoplasm: Heart","CA_137.51","Benign neoplasm of the heart","02","Neoplasms"
"D15.2","ICD10","Benign neoplasm: Mediastinum","CA_137.52","Benign neoplasm of the mediastinum","02","Neoplasms"
"D19","ICD10","Benign neoplasm of mesothelial tissue","CA_137.53","Benign neoplasm of the of pleura","02","Neoplasms"
"D19.0","ICD10","Benign neoplasm: Mesothelial tissue of pleura","CA_137.53","Benign neoplasm of the of pleura","02","Neoplasms"
"D15.0","ICD10","Benign neoplasm: Thymus","CA_137.54","Benign neoplasm of the thymus","02","Neoplasms"
"D23.6","ICD10","Benign neoplasm: Skin of upper limb, including shoulder","CA_138","Benign neoplasm of the skin","02","Neoplasms"
"D23.7","ICD10","Benign neoplasm: Skin of lower limb, including hip","CA_138","Benign neoplasm of the skin","02","Neoplasms"
"D23.9","ICD10","Benign neoplasm: Skin, unspecified","CA_138","Benign neoplasm of the skin","02","Neoplasms"
"D23","ICD10","Other benign neoplasms of skin","CA_138","Benign neoplasm of the skin","02","Neoplasms"
"D23.0","ICD10","Benign neoplasm: Skin of lip","CA_138","Benign neoplasm of the skin","02","Neoplasms"
"D23.1","ICD10","Benign neoplasm: Skin of eyelid, including canthus","CA_138","Benign neoplasm of the skin","02","Neoplasms"
"D23.2","ICD10","Benign neoplasm: Skin of ear and external auricular canal","CA_138","Benign neoplasm of the skin","02","Neoplasms"
"D23.3","ICD10","Benign neoplasm: Skin of other and unspecified parts of face","CA_138","Benign neoplasm of the skin","02","Neoplasms"
"D23.4","ICD10","Benign neoplasm: Skin of scalp and neck","CA_138","Benign neoplasm of the skin","02","Neoplasms"
"D23.5","ICD10","Benign neoplasm: Skin of trunk","CA_138","Benign neoplasm of the skin","02","Neoplasms"
"I78.1","ICD10","Naevus, non-neoplastic","CA_138.1","Nevus, non-neoplastic","02","Neoplasms"
"Q82.5","ICD10","Congenital non-neoplastic naevus","CA_138.1","Nevus, non-neoplastic","02","Neoplasms"
"D22","ICD10","Melanocytic naevi","CA_138.2","Melanocytic nevi*","02","Neoplasms"
"D22.0","ICD10","Melanocytic naevi of lip","CA_138.2","Melanocytic nevi*","02","Neoplasms"
"D22.1","ICD10","Melanocytic naevi of eyelid, including canthus","CA_138.2","Melanocytic nevi*","02","Neoplasms"
"D22.2","ICD10","Melanocytic naevi of ear and external auricular canal","CA_138.2","Melanocytic nevi*","02","Neoplasms"
"D22.3","ICD10","Melanocytic naevi of other and unspecified parts of face","CA_138.2","Melanocytic nevi*","02","Neoplasms"
"D22.4","ICD10","Melanocytic naevi of scalp and neck","CA_138.2","Melanocytic nevi*","02","Neoplasms"
"D22.5","ICD10","Melanocytic naevi of trunk","CA_138.2","Melanocytic nevi*","02","Neoplasms"
"D22.6","ICD10","Melanocytic naevi of upper limb, including shoulder","CA_138.2","Melanocytic nevi*","02","Neoplasms"
"D22.7","ICD10","Melanocytic naevi of lower limb, including hip","CA_138.2","Melanocytic nevi*","02","Neoplasms"
"D22.9","ICD10","Melanocytic naevi, unspecified","CA_138.2","Melanocytic nevi*","02","Neoplasms"
"D16","ICD10","Benign neoplasm of bone and articular cartilage","CA_139.1","Benign neoplams of the bone and/or cartilage","02","Neoplasms"
"D16.0","ICD10","Benign neoplasm: Scapula and long bones of upper limb","CA_139.1","Benign neoplams of the bone and/or cartilage","02","Neoplasms"
